paddy_id,mesh_rakusui,mesh_paddy,dist,orifice,drn_id,total_distance
250,7706,4967,100.2704124003992,1.0,21822.0,4275.144663349312
251,4968,4968,0.0,1.0,21822.0,4227.319444064075
252,4976,4976,0.0,1.0,21822.0,3076.0627703540295
253,4992,4992,0.0,1.0,21822.0,3176.227088094517
254,5001,5001,0.0,1.0,21822.0,3293.145067335719
255,5010,5010,0.0,1.0,21822.0,3293.145067335719
256,4957,5017,21.12323518285296,1.0,21822.0,4349.437187726872
257,5035,5035,0.0,1.0,21822.0,4189.7893242899845
258,4726,5040,81.32681904634022,1.0,21822.0,3399.218012420745
259,917,5049,70.07686788610143,1.0,21822.0,4052.3194440640746
260,5058,5058,0.0,1.0,21822.0,3113.8110720573973
261,853,5080,28.2099822051502,1.0,21822.0,3151.06277035403
262,4715,5086,46.18994862043743,1.0,21822.0,4322.865804442242
263,5094,5094,0.0,1.0,21822.0,2959.754130553187
264,5221,5100,109.92115223263417,1.0,21822.0,3122.011611704868
265,559,5115,77.60579303426387,1.0,21822.0,2941.3975534768297
266,559,5122,27.207684547964373,1.0,21822.0,2941.3975534768297
267,5058,5136,19.297659819576722,1.0,21822.0,3113.8110720573973
268,559,5145,31.17159873173836,1.0,21822.0,2941.3975534768297
269,5160,5160,0.0,1.0,21822.0,2989.6208581801925
270,5164,5164,0.0,1.0,21822.0,3176.227088094517
271,5183,5183,0.0,1.0,21822.0,2989.6208581801925
272,884,5191,17.291876961262787,1.0,21822.0,3094.571833859832
273,5221,5204,111.54764313426533,1.0,21822.0,3122.011611704868
274,5221,5221,0.0,1.0,21822.0,3122.011611704868
275,4672,5224,51.74042917390144,1.0,21822.0,4077.3194440640746
276,917,5231,39.39045389357104,1.0,21822.0,4052.3194440640746
277,864,5236,13.519786839032529,1.0,21822.0,3080.5164099758626
278,5244,5244,0.0,1.0,21822.0,3080.5164099758626
279,5253,5253,0.0,1.0,21822.0,3055.5164099758626
280,4725,5267,44.40207754688962,1.0,21822.0,3424.218012420745
281,4726,5272,67.72410147206162,1.0,21822.0,3399.218012420745
282,853,5276,22.877142851641203,1.0,21822.0,3151.06277035403
283,5253,5284,23.498541646550773,1.0,21822.0,3055.5164099758626
284,5292,5292,0.0,1.0,21822.0,3055.5164099758626
285,5304,5304,0.0,1.0,21822.0,1796.5871243867332
286,5304,5316,87.06924471589492,1.0,21822.0,1796.5871243867332
287,1110,5324,267.56981826204907,1.0,14605.0,301.7766952966369
288,5900,5335,282.5444483036033,1.0,21822.0,1786.2317853274058
289,5900,5345,286.99912279657343,1.0,21822.0,1786.2317853274058
290,3411,5348,443.6458397914069,1.0,18850.0,920.4782977415191
291,1367,5358,425.647680949474,1.0,14605.0,557.842712474619
292,5375,5375,0.0,1.0,21822.0,1831.9424634460606
293,1110,5380,235.51481032415512,1.0,14605.0,301.7766952966369
294,5900,5394,181.77836750577393,1.0,21822.0,1786.2317853274058
295,5900,5404,363.9254840431709,1.0,21822.0,1786.2317853274058
296,5410,5410,0.0,1.0,21822.0,1867.2978025053878
297,5900,5430,78.3503831602367,1.0,21822.0,1786.2317853274058
298,3411,5441,448.7402471227293,1.0,18850.0,920.4782977415191
299,5900,5443,274.3565453353869,1.0,21822.0,1786.2317853274058
300,5900,5463,170.24041311231497,1.0,21822.0,1786.2317853274058
301,1110,5466,260.537330348376,1.0,14605.0,301.7766952966369
302,5900,5471,276.0138110081277,1.0,21822.0,1786.2317853274058
303,5900,5481,79.6063631736467,1.0,21822.0,1786.2317853274058
304,5499,5499,0.0,1.0,21822.0,1796.5871243867332
305,5900,5507,362.3082895138451,1.0,21822.0,1786.2317853274058
306,5900,5510,173.4654412186315,1.0,21822.0,1786.2317853274058
307,5304,5522,181.45545319317992,1.0,21822.0,1796.5871243867332
308,5539,5539,0.0,1.0,21822.0,1940.2887268316153
309,5547,5547,0.0,1.0,21822.0,1940.2887268316153
