fid,X,Y,drn_id,value
214,22728.5416,7182.948,6750,1.0
215,22758.5416,7182.948,6750,1.0
216,22908.5416,7182.948,6750,1.0
217,23928.5416,7182.948,89050,1.0
218,24438.5416,7182.948,89050,1.0
219,22338.5416,7152.948,6750,1.0
220,22788.5416,7152.948,6750,1.0
221,22818.5416,7152.948,6750,1.0
222,22848.5416,7152.948,6750,1.0
223,22908.5416,7152.948,6750,1.0
224,23958.5416,7152.948,89050,1.0
225,23988.5416,7152.948,89050,1.0
226,24438.5416,7152.948,89050,1.0
227,22278.5416,7122.948,6750,1.0
228,22308.5416,7122.948,6750,1.0
229,22878.5416,7122.948,6750,1.0
230,22908.5416,7122.948,6750,1.0
231,24018.5416,7122.948,89050,1.0
232,24408.5416,7122.948,89050,1.0
233,22278.5416,7092.948,6750,1.0
234,24048.5416,7092.948,89050,1.0
235,24228.5416,7092.948,89050,1.0
236,24258.5416,7092.948,89050,1.0
237,24288.5416,7092.948,89050,1.0
238,24318.5416,7092.948,89050,1.0
239,24348.5416,7092.948,89050,1.0
240,24378.5416,7092.948,89050,1.0
241,22278.5416,7062.948,6750,1.0
242,24078.5416,7062.948,89050,1.0
243,24108.5416,7062.948,89050,1.0
244,24138.5416,7062.948,89050,1.0
245,24168.5416,7062.948,89050,1.0
246,24198.5416,7062.948,89050,1.0
247,22308.5416,7032.948,6750,1.0
248,22308.5416,7002.948,6750,1.0
249,22308.5416,6972.948,6750,1.0
250,22308.5416,6942.948,6750,1.0
251,22308.5416,6912.948,6750,1.0
252,22308.5416,6882.948,6750,1.0
253,22308.5416,6852.948,6750,1.0
254,22308.5416,6822.948,6750,1.0
255,22308.5416,6792.948,6750,1.0
256,24018.5416,6792.948,72896,1.0
257,24048.5416,6792.948,72896,1.0
258,24078.5416,6792.948,72896,1.0
259,24108.5416,6792.948,72896,1.0
260,24138.5416,6792.948,72896,1.0
261,24168.5416,6792.948,72896,1.0
262,24198.5416,6792.948,72896,1.0
263,24228.5416,6792.948,72896,1.0
264,24258.5416,6792.948,72896,1.0
265,24288.5416,6792.948,72896,1.0
266,24318.5416,6792.948,72896,1.0
267,24348.5416,6792.948,72896,1.0
268,24378.5416,6792.948,72896,1.0
269,24408.5416,6792.948,72896,1.0
270,24438.5416,6792.948,72896,1.0
271,24468.5416,6792.948,72896,1.0
272,24498.5416,6792.948,72896,1.0
273,24528.5416,6792.948,72896,1.0
274,24558.5416,6792.948,72896,1.0
275,24588.5416,6792.948,72896,1.0
276,22308.5416,6762.948,6750,1.0
277,23988.5416,6762.948,72896,1.0
278,24588.5416,6762.948,72896,1.0
279,22308.5416,6732.948,6750,1.0
280,23958.5416,6732.948,72896,1.0
281,24588.5416,6732.948,72896,1.0
282,22308.5416,6702.948,6750,1.0
283,23898.5416,6702.948,72896,1.0
284,23928.5416,6702.948,72896,1.0
285,24588.5416,6702.948,72896,1.0
